ProductUniqeName,FirstName,LastName,MiddleName,BirthDate,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
BK-R93R-52,Jeffery,Lin,J,1974-05-15,SO43774,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-19 00:00:00.000,2005-07-31 00:00:00.000,2005-07-26 00:00:00.000
BK-R93R-56,Gavin,Price,J,1977-08-03,SO43776,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-20 00:00:00.000,2005-08-01 00:00:00.000,2005-07-27 00:00:00.000
BK-M82S-42,Sharon,She,F,1937-12-09,SO43778,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-20 00:00:00.000,2005-08-01 00:00:00.000,2005-07-27 00:00:00.000
BK-R93R-48,Virginia,Perez,A,1953-07-15,SO43781,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-21 00:00:00.000,2005-08-02 00:00:00.000,2005-07-28 00:00:00.000
BK-R93R-48,Keith,Becker,P,1958-03-12,SO43782,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-21 00:00:00.000,2005-08-02 00:00:00.000,2005-07-28 00:00:00.000
BK-R93R-48,Joseph,Lee,F,1964-11-27,SO43783,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-21 00:00:00.000,2005-08-02 00:00:00.000,2005-07-28 00:00:00.000
BK-R93R-44,Maurice,Kumar,L,1958-08-13,SO43785,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-22 00:00:00.000,2005-08-03 00:00:00.000,2005-07-29 00:00:00.000
BK-R93R-44,Alfredo,Hernandez,C,1970-03-17,SO43786,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-22 00:00:00.000,2005-08-03 00:00:00.000,2005-07-29 00:00:00.000
BK-R93R-56,Thomas,Shan,N,1949-08-26,SO43791,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-22 00:00:00.000,2005-08-03 00:00:00.000,2005-07-29 00:00:00.000
BK-M82S-38,Julia,Barnes,R,1958-05-13,SO43793,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-22 00:00:00.000,2005-08-03 00:00:00.000,2005-07-29 00:00:00.000
BK-M82S-48,Jodi,Shen,A,1939-11-22,SO43794,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-22 00:00:00.000,2005-08-03 00:00:00.000,2005-07-29 00:00:00.000
BK-R93R-62,Francis,Navarro,J,1959-02-14,SO43798,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-23 00:00:00.000,2005-08-04 00:00:00.000,2005-07-30 00:00:00.000
BK-R93R-48,Grace,Perry,E,1962-10-07,SO43799,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-23 00:00:00.000,2005-08-04 00:00:00.000,2005-07-30 00:00:00.000
BK-R93R-44,Marie,Sai,A,1947-10-24,SO43801,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-24 00:00:00.000,2005-08-05 00:00:00.000,2005-07-31 00:00:00.000
BK-R93R-48,Lindsey,Anand,K,1960-02-02,SO43802,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-24 00:00:00.000,2005-08-05 00:00:00.000,2005-07-31 00:00:00.000
BK-R50R-48328,Lucas,Hayes,A,1977-08-23,SO43805,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-07-25 00:00:00.000,2005-08-06 00:00:00.000,2005-08-01 00:00:00.000
BK-R93R-48,Madeline,Carter,A,1974-08-04,SO43806,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-25 00:00:00.000,2005-08-06 00:00:00.000,2005-08-01 00:00:00.000
BK-R93R-48,Brent,Chen,A,1970-10-17,SO43807,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-26 00:00:00.000,2005-08-07 00:00:00.000,2005-08-02 00:00:00.000
BK-R93R-62,Sheila,Diaz,B,1974-08-15,SO43809,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-26 00:00:00.000,2005-08-07 00:00:00.000,2005-08-02 00:00:00.000
BK-M82S-44,Riley,Peterson,S,1977-06-06,SO43811,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-07-26 00:00:00.000,2005-08-07 00:00:00.000,2005-08-02 00:00:00.000
BK-R50B-44338,Tyrone,Navarro,K,1980-08-02,SO43824,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-07-28 00:00:00.000,2005-08-09 00:00:00.000,2005-08-04 00:00:00.000
BK-M82B-38,Kaylee,Hernandez,T,1976-09-13,SO43826,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-28 00:00:00.000,2005-08-09 00:00:00.000,2005-08-04 00:00:00.000
BK-M82B-42,Franklin,Luo,J,1979-06-05,SO43831,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-29 00:00:00.000,2005-08-10 00:00:00.000,2005-08-05 00:00:00.000
BK-R93R-62,Roy,Chandra,R,1947-08-13,SO43832,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-29 00:00:00.000,2005-08-10 00:00:00.000,2005-08-05 00:00:00.000
BK-M82B-44,Alisha,Ye,J,1975-04-08,SO43837,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-07-30 00:00:00.000,2005-08-11 00:00:00.000,2005-08-06 00:00:00.000
BK-R93R-48,Jose,Bryant,D,1963-07-22,SO43842,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-07-31 00:00:00.000,2005-08-12 00:00:00.000,2005-08-07 00:00:00.000
BK-R93R-52,Devin,Jones,H,1979-03-12,SO43921,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-01 00:00:00.000,2005-08-13 00:00:00.000,2005-08-08 00:00:00.000
BK-R93R-62,Caitlin,Peterson,J,1957-02-02,SO43924,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-02 00:00:00.000,2005-08-14 00:00:00.000,2005-08-09 00:00:00.000
BK-R93R-56,Gerald,Carlson,A,1936-01-25,SO43925,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-02 00:00:00.000,2005-08-14 00:00:00.000,2005-08-09 00:00:00.000
BK-R93R-56,Christopher,Martinez,F,1936-08-10,SO43927,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-03 00:00:00.000,2005-08-15 00:00:00.000,2005-08-10 00:00:00.000
BK-M82S-44,Marshall,Zhao,C,1942-06-17,SO43934,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-08-04 00:00:00.000,2005-08-16 00:00:00.000,2005-08-11 00:00:00.000
BK-R93R-56,Virginia,Garcia,C,1974-08-22,SO43941,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-R93R-62,Isaiah,Evans,J,1950-10-05,SO43942,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-R50B-44338,Fernando,Nelson,G,1977-09-20,SO43943,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-M82S-38,Jaime,Goel,W,1968-12-15,SO43944,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-R93R-52,Vincent,Zhang,M,1963-05-19,SO43946,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-M82S-42,Jasmine,Sanders,E,1968-02-21,SO43948,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-08-06 00:00:00.000,2005-08-18 00:00:00.000,2005-08-13 00:00:00.000
BK-R93R-44,Leslie,Blanco,L,1962-08-15,SO43951,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-07 00:00:00.000,2005-08-19 00:00:00.000,2005-08-14 00:00:00.000
BK-R93R-48,Marcus,Brooks,T,1962-03-16,SO43952,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-07 00:00:00.000,2005-08-19 00:00:00.000,2005-08-14 00:00:00.000
BK-R93R-44,Natasha,Munoz,M,1973-03-18,SO43954,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-08 00:00:00.000,2005-08-20 00:00:00.000,2005-08-15 00:00:00.000
BK-M82B-38,Seth,Clark,H,1976-04-03,SO43959,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-09 00:00:00.000,2005-08-21 00:00:00.000,2005-08-16 00:00:00.000
BK-M82B-42,Cameron,Chen,J,1968-05-07,SO43960,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-09 00:00:00.000,2005-08-21 00:00:00.000,2005-08-16 00:00:00.000
BK-M82B-48,Angela,Gonzales,S,1975-06-01,SO43965,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-10 00:00:00.000,2005-08-22 00:00:00.000,2005-08-17 00:00:00.000
BK-M82S-48,Isabella,Jackson,L,1974-02-18,SO43966,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-08-10 00:00:00.000,2005-08-22 00:00:00.000,2005-08-17 00:00:00.000
BK-R93R-44,Alexandra,Reed,C,1949-02-09,SO43970,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-11 00:00:00.000,2005-08-23 00:00:00.000,2005-08-18 00:00:00.000
BK-R93R-48,Melissa,Murphy,N,1952-07-18,SO43974,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-12 00:00:00.000,2005-08-24 00:00:00.000,2005-08-19 00:00:00.000
BK-R93R-48,Colin,Zheng,M,1956-07-18,SO43975,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-12 00:00:00.000,2005-08-24 00:00:00.000,2005-08-19 00:00:00.000
BK-R50R-60322,Elijah,Campbell,R,1961-08-27,SO43979,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-08-13 00:00:00.000,2005-08-25 00:00:00.000,2005-08-20 00:00:00.000
BK-M82B-48,David,Gonzales,B,1968-12-16,SO43980,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-13 00:00:00.000,2005-08-25 00:00:00.000,2005-08-20 00:00:00.000
BK-R93R-56,Aaron,Collins,P,1960-09-24,SO43981,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-13 00:00:00.000,2005-08-25 00:00:00.000,2005-08-20 00:00:00.000
BK-R93R-56,Dianne,Slattengren,K.,1956-06-08,SO43993,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-17 00:00:00.000,2005-08-29 00:00:00.000,2005-08-24 00:00:00.000
BK-R50B-62336,Richard,Lopez,L,1943-06-09,SO44002,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2005-08-19 00:00:00.000,2005-08-31 00:00:00.000,2005-08-26 00:00:00.000
BK-R93R-62,Stefanie,Garcia,E,1941-07-28,SO44006,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-19 00:00:00.000,2005-08-31 00:00:00.000,2005-08-26 00:00:00.000
BK-R93R-62,Wyatt,Hernandez,S,1950-02-06,SO44010,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-20 00:00:00.000,2005-09-01 00:00:00.000,2005-08-27 00:00:00.000
BK-M82B-42,Lauren,Rogers,G,1968-12-05,SO44012,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-20 00:00:00.000,2005-09-01 00:00:00.000,2005-08-27 00:00:00.000
BK-R93R-44,Laura,He,W,1980-03-08,SO44015,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-21 00:00:00.000,2005-09-02 00:00:00.000,2005-08-28 00:00:00.000
BK-M82B-44,Jacqueline,Cox,G,1969-03-13,SO44016,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-21 00:00:00.000,2005-09-02 00:00:00.000,2005-08-28 00:00:00.000
BK-R93R-44,Clarence,Sharma,A,1955-10-24,SO44020,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-21 00:00:00.000,2005-09-02 00:00:00.000,2005-08-28 00:00:00.000
BK-R93R-56,Bianca,Zheng,G,1960-06-15,SO44024,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-22 00:00:00.000,2005-09-03 00:00:00.000,2005-08-29 00:00:00.000
BK-R93R-62,Jimmy,Navarro,E,1949-07-12,SO44026,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-22 00:00:00.000,2005-09-03 00:00:00.000,2005-08-29 00:00:00.000
BK-R93R-48,Jay,Sanchez,W,1950-12-20,SO44028,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-23 00:00:00.000,2005-09-04 00:00:00.000,2005-08-30 00:00:00.000
BK-M82B-44,Allen,Patel,J,1967-05-07,SO44029,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2005-08-23 00:00:00.000,2005-09-04 00:00:00.000,2005-08-30 00:00:00.000
BK-R93R-44,Lauren,Russell,T,1966-07-08,SO44030,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2005-08-24 00:00:00.000,2005-09-05 00:00:00.000,2005-08-31 00:00:00.000
BK-M82S-38,Cameron,Walker,M,1970-12-27,SO44032,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2005-08-24 00:00:00.000,2005-09-05 00:00:00.000,2005-08-31 00:00:00.000
